Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2,3,17,50,83,98,100,4.489999999999999,0.08416137914521729
7/3/2022,379,lilac,40486,3461,0,2,17,38,29,12,1,2,19,57,86,98,99,4.3100000000000005,0.08548634095736798
7/4/2022,380,sever,42645,3591,0,2,13,27,29,21,7,2,15,42,71,92,99,4.71,0.08420682377769961
7/5/2022,381,field,44578,3604,1,6,25,36,23,9,1,7,32,68,91,100,101,4.08,0.08084705460092423
7/6/2022,382,fluff,47344,4049,0,0,4,25,44,23,4,0,4,29,73,96,100,4.98,0.08552298073673538
7/7/2022,383,agape,43407,3671,0,2,18,36,27,15,3,2,20,56,83,98,101,4.4799999999999995,0.08457161287349967
7/8/2022,384,voice,42806,3484,1,5,24,35,25,9,1,6,30,65,90,99,100,4.09,0.08139045928140914
7/9/2022,385,stead,47094,3933,1,6,20,27,28,16,3,7,27,54,82,98,101,4.38,0.0835138234169958
7/10/2022,386,berth,41785,3494,0,7,24,35,24,9,1,7,31,66,90,99,100,4.07,0.08361852339356228
7/11/2022,387,madam,40545,3430,0,3,13,35,34,14,2,3,16,51,85,99,101,4.53,0.0845973609569614
7/12/2022,388,night,46910,3870,1,8,27,27,17,13,7,9,36,63,80,93,100,4.180000000000001,0.08249840119377531
7/13/2022,389,bland,46246,3727,0,7,31,38,18,4,0,7,38,76,94,98,98,3.7299999999999995,0.08059075379492281
7/14/2022,390,liver,40549,3388,0,4,16,26,25,20,8,4,20,46,71,91,99,4.609999999999999,0.08355323189227848
7/15/2022,391,wedge,39234,3353,0,2,11,32,37,17,2,2,13,45,82,99,101,4.659999999999999,0.08546158943773258
7/16/2022,392,roomy,38769,3280,0,2,17,41,28,10,2,2,19,60,88,98,100,4.33,0.0846036781964972
7/17/2022,393,wacky,39611,3345,0,3,18,39,27,10,2,3,21,60,87,97,99,4.25,0.08444623968089672
7/18/2022,394,flock,42574,3548,0,4,22,37,27,9,1,4,26,63,90,99,100,4.18,0.0833372480856861
7/19/2022,395,angry,39667,3358,0,5,27,38,21,7,1,5,32,70,91,98,99,3.9699999999999993,0.08465475080041344
7/20/2022,396,trite,42237,3685,0,4,14,22,22,23,15,4,18,40,62,85,100,4.91,0.08724577976655538
7/21/2022,397,aphid,39086,3367,0,6,24,36,23,9,2,6,30,66,89,98,100,4.109999999999999,0.08614337614491122
7/22/2022,398,tryst,43099,3665,0,3,26,41,23,6,1,3,29,70,93,99,100,4.0600000000000005,0.08503677579526207
7/23/2022,399,midge,36769,3111,0,2,18,39,28,10,2,2,20,59,87,97,99,4.279999999999999,0.08460931763170061
7/24/2022,400,power,39813,3401,2,6,19,29,24,15,4,8,27,56,80,95,99,4.25,0.0854243588777535
7/25/2022,401,elope,39228,3339,0,4,22,32,26,13,2,4,26,58,84,97,99,4.24,0.08511777301927195
7/26/2022,402,cinch,39171,3507,0,2,15,24,22,25,13,2,17,41,63,88,101,4.96,0.08953052002757142
7/27/2022,403,motto,38384,3285,0,1,11,36,36,14,1,1,12,48,84,98,99,4.5,0.08558253438932889
7/28/2022,404,stomp,40650,3490,0,7,26,32,21,11,2,7,33,65,86,97,99,4.05,0.08585485854858549
7/29/2022,405,upset,37791,3213,0,5,30,38,20,6,1,5,35,73,93,99,100,3.9499999999999997,0.08502024291497975
7/30/2022,406,bluff,37353,3171,0,2,14,42,31,10,1,2,16,58,89,99,100,4.359999999999999,0.08489277969640993
7/31/2022,407,cramp,39250,3369,1,8,26,33,19,10,2,9,35,68,87,97,99,3.9600000000000004,0.0858343949044586
8/1/2022,408,quart,36662,3303,0,5,20,33,27,13,2,5,25,58,85,98,100,4.29,0.09009328459985816
8/2/2022,409,coyly,34909,3380,0,0,4,17,28,35,15,0,4,21,49,84,99,5.3500000000000005,0.09682316881033544
8/3/2022,410,youth,38381,3327,1,5,17,31,29,15,3,6,23,54,83,98,101,4.42,0.08668351528099841
8/4/2022,411,rhyme,37229,3336,0,4,22,39,25,8,1,4,26,65,90,98,99,4.1,0.08960756399580971
8/5/2022,412,buggy,37350,3428,0,1,9,29,34,22,5,1,10,39,73,95,100,4.82,0.09178045515394913
8/6/2022,413,alien,38841,3395,3,17,31,29,15,4,0,20,51,80,95,99,99,3.45,0.0874076362606524
8/7/2022,414,smear,36223,3190,0,2,16,39,29,12,2,2,18,57,86,98,100,4.39,0.08806559368357121
8/8/2022,415,unfit,35516,3187,0,3,24,38,25,9,1,3,27,65,90,99,100,4.16,0.08973420430228629
8/9/2022,416,patty,36223,3019,0,2,16,39,29,12,1,2,18,57,86,98,99,4.32,0.08334483615382492
8/10/2022,417,cling,37654,3312,0,4,20,34,27,13,2,4,24,58,85,98,100,4.31,0.08795878259945822
8/11/2022,418,glean,37301,3243,0,6,23,37,24,8,1,6,29,66,90,98,99,4.04,0.08694136886410551
8/12/2022,419,label,34198,3076,0,4,18,32,29,15,2,4,22,54,83,98,100,4.39,0.08994678051348032
8/13/2022,420,hunky,35276,3185,0,1,11,33,25,22,7,1,12,45,70,92,99,4.73,0.09028801451411725
8/14/2022,421,khaki,31652,2968,0,2,17,33,28,16,4,2,19,52,80,96,100,4.510000000000001,0.09376974598761531
8/15/2022,422,poker,35376,3180,0,4,17,30,27,17,5,4,21,51,78,95,100,4.51,0.08989145183175033
8/16/2022,423,gruel,35105,3087,0,3,19,39,29,9,1,3,22,61,90,99,100,4.25,0.08793619142572283
8/17/2022,424,twice,35815,3173,1,6,28,38,21,6,1,7,35,73,94,100,101,3.9699999999999998,0.08859416445623342
8/18/2022,425,twang,34938,3172,0,3,22,43,25,7,1,3,25,68,93,100,101,4.180000000000001,0.09078939836281413
8/19/2022,426,shrug,33965,2987,0,4,23,36,26,10,1,4,27,63,89,99,100,4.18,0.08794347122037391
8/20/2022,427,treat,38245,3249,1,22,32,26,14,5,1,23,55,81,95,100,101,3.52,0.08495228134396653
8/21/2022,428,waste,35617,3186,1,7,19,27,24,17,5,8,27,54,78,95,100,4.369999999999999,0.08945166633910773
8/22/2022,429,merit,35888,3123,0,7,33,37,17,5,0,7,40,77,94,99,99,3.76,0.08702073116362015
8/23/2022,430,woven,33549,2933,0,2,13,32,32,17,3,2,15,47,79,96,99,4.54,0.08742436436257414
8/24/2022,431,needy,33700,2927,0,2,21,41,26,9,1,2,23,64,90,99,100,4.220000000000001,0.08685459940652819
8/25/2022,432,clown,36737,3175,1,8,29,36,20,6,1,9,38,74,94,100,101,3.9099999999999997,0.08642512997795139
8/26/2022,433,irony,34716,3046,0,6,29,34,21,8,1,6,35,69,90,98,99,3.95,0.08774052310173983
8/27/2022,434,ruder,31241,2784,0,2,16,33,29,16,4,2,18,51,80,96,100,4.53,0.08911366473544381
8/28/2022,435,gauze,30214,2866,0,2,11,24,31,25,8,2,13,37,68,93,101,4.9399999999999995,0.09485668895214139
8/29/2022,436,chief,34281,3072,1,6,32,38,18,5,0,7,39,77,95,100,100,3.8099999999999996,0.08961232169423296
8/30/2022,437,onset,33660,3009,0,4,29,40,21,6,1,4,33,73,94,100,101,4.029999999999999,0.0893939393939394
8/31/2022,438,prize,35343,3166,0,5,12,20,32,26,5,5,17,37,69,95,100,4.77,0.08957926604985429
9/1/2022,439,fungi,31903,2928,0,2,18,41,28,9,1,2,20,61,89,98,99,4.23,0.09177820267686425
9/2/2022,440,charm,35724,3149,1,12,32,34,16,5,1,13,45,79,95,100,101,3.7399999999999998,0.0881480237375434
9/3/2022,441,gully,31191,2877,0,1,9,27,31,25,7,1,10,37,68,93,100,4.91,0.09223814561892854
9/4/2022,442,inter,32018,2889,0,6,25,36,23,8,1,6,31,67,90,98,99,4.01,0.09023049534636766
9/5/2022,443,whoop,32733,2970,0,1,16,47,29,7,1,1,17,64,93,100,101,4.32,0.09073412152873248
9/6/2022,444,taunt,32734,3022,0,4,19,27,21,16,13,4,23,50,71,87,100,4.65,0.09231991201808518
9/7/2022,445,leery,30992,2873,0,3,17,37,28,12,2,3,20,57,85,97,99,4.31,0.09270134228187919
9/8/2022,446,class,31962,3001,0,4,21,32,22,13,7,4,25,57,79,92,99,4.36,0.0938927476378199
9/9/2022,447,theme,32172,2909,0,8,29,40,18,4,0,8,37,77,95,99,99,3.7699999999999996,0.09042024120353102
9/10/2022,448,lofty,29237,2777,0,4,19,34,27,13,3,4,23,57,84,97,100,4.35,0.09498238533365257
9/11/2022,449,tibia,27887,2675,0,1,14,40,30,12,2,1,15,55,85,97,99,4.3999999999999995,0.09592283142682971
9/12/2022,450,booze,29147,2883,0,1,7,27,38,23,4,1,8,35,73,96,100,4.87,0.09891240951041273
9/13/2022,451,alpha,29497,2706,0,3,19,40,28,9,1,3,22,62,90,99,100,4.24,0.09173814286198596
9/14/2022,452,thyme,32142,2938,1,5,24,41,23,5,0,6,30,71,94,99,99,3.92,0.09140688196129675
9/15/2022,453,doubt,33344,3011,1,12,32,34,16,4,0,13,45,79,95,99,99,3.6100000000000003,0.09030110364683301
9/16/2022,454,parer,37309,4130,0,0,4,11,15,22,48,0,4,15,30,52,100,5.99,0.1106971508215176
9/17/2022,455,chute,33418,3073,0,11,37,36,12,3,0,11,48,84,96,99,99,3.55,0.09195643066610809
9/18/2022,456,stick,33102,3038,1,9,36,35,14,4,0,10,46,81,95,99,99,3.6100000000000003,0.09177693190743762
9/19/2022,457,trice,35050,3430,0,5,24,25,18,17,11,5,29,54,72,89,100,4.51,0.0978601997146933
9/20/2022,458,alike,31277,2843,0,6,20,33,27,12,2,6,26,59,86,98,100,4.25,0.09089746459059372
9/21/2022,459,recap,31976,2900,0,5,30,35,21,8,1,5,35,70,91,99,100,4.0,0.09069301976482362
9/22/2022,460,saint,34455,3119,1,14,35,29,15,5,1,15,50,79,94,99,100,3.6199999999999997,0.09052387171673197
9/23/2022,461,glory,31509,2893,0,6,30,39,19,5,0,6,36,75,94,99,99,3.83,0.09181503697356311
9/24/2022,462,grate,32777,3077,1,14,29,28,16,8,3,15,44,72,88,96,99,3.77,0.0938768038563627
9/25/2022,463,admit,28994,2677,0,10,25,34,22,8,1,10,35,69,91,99,100,3.96,0.09232944747189073
9/26/2022,464,brisk,31706,2884,0,5,23,38,24,7,1,5,28,66,90,97,98,4.0,0.09096070144452154
9/27/2022,465,soggy,30985,2888,0,2,18,38,28,11,2,2,20,58,86,97,99,4.3,0.09320639018880103
9/28/2022,466,usurp,31355,3007,0,3,21,38,26,9,1,3,24,62,88,97,98,4.12,0.09590177005262318
9/29/2022,467,scald,30477,2829,0,4,23,36,24,11,2,4,27,63,87,98,100,4.21,0.09282409685992715
9/30/2022,468,scorn,31223,2859,0,8,31,35,20,6,1,8,39,74,94,100,101,3.92,0.09156711398648432
10/1/2022,469,leave,28202,2696,0,4,16,34,31,12,1,4,20,54,85,97,98,4.26,0.09559605701723282
10/2/2022,470,twine,30088,2775,0,6,28,40,20,5,1,6,34,74,94,99,100,3.9299999999999997,0.09222946024993353
10/3/2022,471,sting,32288,2969,1,10,30,33,18,8,2,11,41,74,92,100,102,3.9499999999999997,0.09195366699702676
10/4/2022,472,bough,32014,3060,0,3,17,35,28,13,3,3,20,55,83,96,99,4.36,0.0955831823577185
10/5/2022,473,marxh,30935,2885,0,9,30,35,19,6,1,9,39,74,93,99,100,3.86,0.09326006141910458
10/6/2022,474,sloth,32522,2987,1,10,38,34,13,3,0,11,49,83,96,99,99,3.54,0.09184551995572228
10/7/2022,475,dandy,29026,2840,0,2,11,23,29,24,11,2,13,36,65,89,100,4.949999999999999,0.09784331289189004
10/8/2022,476,vigor,26905,2642,0,2,15,35,31,14,2,2,17,52,83,97,99,4.42,0.09819736108530012
10/9/2022,477,howdy,28408,2668,0,2,13,32,32,17,4,2,15,47,79,96,100,4.61,0.09391720642072655
10/10/2022,478,enjoy,26878,2654,0,3,12,29,33,20,3,3,15,44,77,97,100,4.64,0.09874246595728849
10/11/2022,479,valid,28575,2752,0,4,28,38,21,8,1,4,32,70,91,99,100,4.04,0.0963079615048119
10/12/2022,480,ionic,29151,2947,0,2,13,25,28,21,11,2,15,40,68,89,100,4.859999999999999,0.10109430208226133
10/13/2022,481,equal,27197,2677,0,5,23,35,25,11,2,5,28,63,88,99,101,4.239999999999999,0.0984299738941795
10/14/2022,482,floor,28906,2752,0,3,23,44,24,6,0,3,26,70,94,100,100,4.07,0.0952051477201965
10/15/2022,483,catch,30403,3123,0,7,18,20,15,16,23,7,25,45,60,76,99,4.8,0.10272012630332533
10/16/2022,484,spade,30459,2854,1,8,29,36,19,6,1,9,38,74,93,99,100,3.86,0.0936997275025444
10/17/2022,485,stein,31269,2965,1,12,34,32,16,5,1,13,47,79,95,100,101,3.7199999999999993,0.09482234801240845
10/18/2022,486,exist,28612,2805,0,5,24,38,23,8,1,5,29,67,90,98,99,4.04,0.0980357891793653
10/19/2022,487,quirk,28322,2794,0,3,23,39,24,9,2,3,26,65,89,98,100,4.19,0.09865122519596074
10/20/2022,488,denim,28741,2769,0,5,29,40,20,5,0,5,34,74,94,99,99,3.87,0.09634320308966285
10/21/2022,489,grove,28637,2794,0,4,18,30,28,17,3,4,22,52,80,97,100,4.45,0.09756608583301324
10/22/2022,490,spiel,29084,2810,0,7,32,36,19,6,1,7,39,75,94,100,101,3.92,0.09661669646541053
10/23/2022,491,mummy,29279,3021,0,1,4,14,27,37,18,1,5,19,46,83,101,5.529999999999999,0.10317975340687865
10/24/2022,492,fault,28947,2768,0,7,27,35,22,8,1,7,34,69,91,99,100,4.0,0.09562303520226621
10/25/2022,493,foggy,28953,2817,0,2,13,35,32,15,3,2,15,50,82,97,100,4.54,0.09729561703450419
10/26/2022,494,flout,30063,2904,0,6,28,37,21,7,1,6,34,71,92,99,100,3.98,0.09659714599341383
10/27/2022,495,carry,27609,2615,0,4,22,35,24,12,3,4,26,61,85,97,100,4.2700000000000005,0.09471549132529247
10/28/2022,496,sneak,27905,2636,0,7,28,36,21,7,1,7,35,71,92,99,100,3.9599999999999995,0.094463357821179
10/29/2022,497,libel,25156,2536,0,3,15,32,32,16,2,3,18,50,82,98,100,4.489999999999999,0.10081093973604707
10/30/2022,498,waltz,24672,2496,0,2,11,29,35,19,3,2,13,42,77,96,99,4.63,0.10116731517509728
10/31/2022,499,aptly,26498,2572,0,3,26,41,23,7,1,3,29,70,93,100,101,4.120000000000001,0.09706392935315873
11/2/2022,501,inept,27670,2640,0,6,30,39,20,6,1,6,36,75,95,101,102,4.01,0.09541019154318757
11/3/2022,502,aloud,29554,2819,1,18,31,30,15,4,1,19,50,80,95,99,100,3.56,0.09538471949651485
11/4/2022,503,photo,27330,2565,0,5,34,43,15,3,0,5,39,82,97,100,100,3.77,0.0938529088913282
11/5/2022,504,dream,29743,2751,5,14,31,29,15,4,1,19,50,79,94,98,99,3.48,0.09249235114144505
11/6/2022,505,stale,31068,3013,2,19,30,27,15,6,2,21,51,78,93,99,101,3.63,0.09698081627397966
11/7/2022,506,begin,26096,2439,0,6,26,36,23,7,1,6,32,68,91,98,99,3.98,0.09346259963212752
11/8/2022,507,spell,27213,2531,0,4,24,37,24,9,1,4,28,65,89,98,99,4.09,0.09300701870429574
11/9/2022,508,rainy,28984,2678,1,16,38,31,11,3,1,17,55,86,97,100,101,3.51,0.09239580458183826
11/10/2022,509,unite,27467,2575,1,11,31,33,18,5,1,12,43,76,94,99,100,3.7499999999999996,0.09374886227108895
11/11/2022,510,medal,25993,2438,0,5,25,38,23,8,1,5,30,68,91,99,100,4.07,0.09379448313007348
11/12/2022,511,valet,24660,2356,0,4,22,38,25,9,1,4,26,64,89,98,99,4.12,0.09553933495539335
11/13/2022,512,inane,25085,2515,0,8,25,30,21,13,3,8,33,63,84,97,100,4.15,0.10025911899541559
11/14/2022,513,maple,26536,2467,1,6,26,36,21,8,1,7,33,69,90,98,99,3.95,0.09296804341272234
11/15/2022,514,snarl,27475,2650,0,5,21,31,24,15,4,5,26,57,81,96,100,4.3500000000000005,0.09645131938125569
11/16/2022,515,baker,25576,2541,0,5,16,23,24,22,10,5,21,44,68,90,100,4.72,0.09935095401939319
11/17/2022,516,there,27465,2530,0,14,35,33,14,4,0,14,49,82,96,100,100,3.5900000000000007,0.09211724012379392
11/18/2022,517,glyph,29208,2899,0,2,23,49,20,5,1,2,25,74,94,99,100,4.06,0.09925362914270063
11/19/2022,518,avert,24749,2400,0,7,26,35,22,9,1,7,33,68,90,99,100,4.03,0.09697361509555942
11/20/2022,519,brave,24991,2396,1,6,17,27,27,18,5,7,24,51,78,96,101,4.5,0.09587451482533713
11/21/2022,520,axiom,24288,2382,0,5,19,33,27,13,3,5,24,57,84,97,100,4.33,0.09807312252964427
11/22/2022,521,prime,27437,2534,1,10,26,32,21,9,1,11,37,69,90,99,100,3.93,0.09235703611910923
11/23/2022,522,drive,26663,2451,1,12,32,30,18,6,1,13,45,75,93,99,100,3.7399999999999998,0.09192513970670967
11/24/2022,523,feast,27705,2725,5,13,25,27,19,10,2,18,43,70,89,99,101,3.8300000000000005,0.09835769716657643
11/25/2022,524,itchy,24197,2329,0,8,28,40,18,5,1,8,36,76,94,99,100,3.8699999999999997,0.09625160143819482
11/26/2022,525,clean,26381,2424,1,17,36,31,12,3,0,18,54,85,97,100,100,3.45,0.09188431067813957
11/27/2022,526,happy,25206,2356,0,6,28,39,19,6,1,6,34,73,92,98,99,3.9,0.09346980877568833
11/28/2022,527,tepid,26051,2484,0,10,38,35,13,3,0,10,48,83,96,99,99,3.5700000000000003,0.09535142604890408
11/29/2022,528,undue,23739,2316,0,3,19,35,29,13,2,3,22,57,86,99,101,4.4,0.0975609756097561
12/1/2022,530,eject,22628,2200,0,2,11,35,36,14,2,2,13,48,84,98,100,4.55,0.0972246773908432
12/2/2022,531,chafe,24646,2343,0,6,30,33,19,9,2,6,36,69,88,97,99,3.97,0.09506613649273715
12/3/2022,532,torso,23873,2260,0,4,35,36,17,6,1,4,39,75,92,98,99,3.85,0.09466761613538306
12/4/2022,533,adore,25577,2398,2,17,32,29,15,5,1,19,51,80,95,100,101,3.5999999999999996,0.09375610900418345
12/5/2022,534,woken,23153,2200,0,2,10,25,36,23,4,2,12,37,73,96,100,4.8,0.09502008379043753
12/6/2022,535,amber,23509,2261,0,6,22,33,24,12,3,6,28,61,85,97,100,4.23,0.09617593262154919
12/7/2022,536,joust,24899,2388,0,6,29,34,21,8,2,6,35,69,90,98,100,4.0200000000000005,0.09590746616329973
12/8/2022,537,infer,21199,1863,0,3,19,33,26,14,3,3,22,55,81,95,98,4.3,0.08788150384452097
12/9/2022,538,braid,23640,2165,0,10,36,35,14,3,0,10,46,81,95,98,98,3.5600000000000005,0.09158206429780034
12/10/2022,539,knock,21157,2041,0,3,18,43,27,8,1,3,21,64,91,99,100,4.220000000000001,0.09646925367490665
12/11/2022,540,naive,21947,2075,1,7,24,32,24,11,1,8,32,64,88,99,100,4.08,0.0945459516106985
12/12/2022,541,apply,22873,2150,0,5,28,38,22,7,1,5,33,71,93,100,101,4.05,0.09399728938049229
12/13/2022,542,spoke,24101,2224,0,6,31,38,19,5,0,6,37,75,94,99,99,3.82,0.09227832870005394
12/14/2022,543,usual,20824,2048,0,3,20,39,27,10,1,3,23,62,89,99,100,4.24,0.09834805993084902
12/15/2022,544,rival,22176,2127,0,7,27,35,22,8,1,7,34,69,91,99,100,4.0,0.09591450216450216
12/16/2022,545,probe,22853,2160,0,6,24,32,24,11,3,6,30,62,86,97,100,4.19,0.09451713123003544
12/17/2022,546,chord,22336,2088,0,7,39,38,13,3,0,7,46,84,97,100,100,3.66,0.09348137535816618
12/18/2022,547,taper,22166,2108,0,8,28,30,20,11,3,8,36,66,86,97,100,4.07,0.09510060452945954
12/19/2022,548,slate,26010,2422,6,14,33,27,13,5,1,20,53,80,93,98,99,3.4299999999999997,0.09311803152633602
12/20/2022,549,third,24137,2261,1,10,47,32,9,2,0,11,58,90,99,101,101,3.47,0.09367361312507769
12/21/2022,550,lunar,22180,2036,0,5,32,40,17,4,0,5,37,77,94,98,98,3.75,0.09179440937781785
12/22/2022,551,excel,20490,2034,0,1,13,34,34,15,2,1,14,48,82,97,99,4.51,0.0992679355783309
12/23/2022,552,aorta,21937,2112,0,7,26,35,20,10,3,7,33,68,88,98,101,4.130000000000001,0.09627569859142089
12/24/2022,553,poise,20281,1911,2,11,34,32,15,6,1,13,47,79,94,100,101,3.7199999999999998,0.09422612297224003
12/25/2022,554,extra,15554,1562,1,5,20,35,28,10,1,6,26,61,89,99,100,4.180000000000001,0.10042432814710042
12/26/2022,555,judge,20011,2043,0,2,8,16,26,33,14,2,10,26,52,85,99,5.18,0.10209384838338914
12/27/2022,556,condo,20879,2012,0,2,17,35,29,14,3,2,19,54,83,97,100,4.45,0.09636476842760669
12/28/2022,557,impel,20160,1937,0,3,21,40,25,9,1,3,24,64,89,98,99,4.15,0.09608134920634921
12/29/2022,558,havoc,20001,1919,0,2,16,38,30,12,2,2,18,56,86,98,100,4.3999999999999995,0.09594520273986301
12/30/2022,559,molar,21204,1973,0,4,21,38,26,9,1,4,25,63,89,98,99,4.140000000000001,0.09304848141860027
12/31/2022,560,manly,20380,1899,0,2,17,37,29,12,2,2,19,56,85,97,99,4.34,0.09317958783120707
