Contest number,Word,D,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,V,FS,Fsentropy,FF,FFentropy,FB,FBentropy,FE,FEentropy
202,slump,4.13,s,l,u,m,p,1,1,0.482078833,1.052659009,0.158099352,2.66109664,0.039524838,4.66109664,1.27E-05,16.26481198
203,crank,4.22,c,r,a,n,k,1,1,0.524497532,0.930992111,0.085529158,3.547439852,0.021382289,5.547439886,3.16E-05,14.94971592
204,gorge,4.64,g,o,r,g,e,4,2,0.585285215,0.77278826,0.049676026,4.331306425,0.012419006,6.331306483,2.82E-05,15.11394531
205,query,4.43,q,u,e,r,y,1,2,0.497670082,1.006738435,0.009935205,6.653234549,0.002483801,8.653234694,0.000451963,11.11150771
206,drink,3.77,d,r,i,n,k,1,1,0.464094892,1.107508276,0.047948164,4.382380616,0.011987041,6.382380616,0.000422644,11.20826941
207,favor,4.57,f,a,v,o,r,1,2,0.511577724,0.96697465,0.0587473,4.089333642,0.014686825,6.089333642,0.000171454,12.50989082
208,abbey,4.56,a,b,b,e,y,4,2,0.55376663,0.852649975,0.060907127,4.037245136,0.015226782,6.037245112,6.10E-05,14.00083123
209,tangy,4.37,t,a,n,g,y,1,1,0.503590745,0.989676325,0.064362851,3.957627957,0.016090713,5.957627935,4.82E-06,17.66253542
210,panic,3.77,p,a,n,i,c,1,2,0.521854286,0.938281066,0.061339093,4.027049356,0.015334773,6.027049379,9.24E-05,13.40174762
211,solar,3.82,s,o,l,a,r,1,2,0.733938107,0.446269689,0.158099352,2.66109664,0.039524838,4.66109664,0.000295061,11.72669914
212,shire,3.93,s,h,i,r,e,1,2,0.692820541,0.529446391,0.158099352,2.66109664,0.039524838,4.66109664,3.85E-05,14.66478203
213,proxy,4.87,p,r,o,x,y,1,1,0.411387391,1.281430519,0.061339093,4.027049356,0.015334773,6.027049379,0.000155638,12.64951803
214,point,3.47,p,o,i,n,t,1,2,0.518331593,0.948052764,0.061339093,4.027049356,0.015334773,6.027049379,0.00253584,8.623320564
215,robot,3.95,r,o,b,o,t,4,2,0.568058707,0.81588806,0.045356371,4.462550976,0.011339093,6.462550944,0.000182845,12.4170912
216,prick,3.83,p,r,i,c,k,1,1,0.430223662,1.216841221,0.061339093,4.027049356,0.015334773,6.027049379,1.29E-05,16.24226941
217,wince,4.46,w,i,n,c,e,1,2,0.521619386,0.938930607,0.035853132,4.801757037,0.008963283,6.801757037,1.04E-05,16.55305695
218,crimp,3.96,c,r,i,m,p,1,1,0.446231287,1.164136425,0.085529158,3.547439852,0.021382289,5.547439886,9.26E-06,16.72055638
219,knoll,4.71,k,n,o,l,l,4,1,0.494782541,1.015133501,0.008639309,6.854868359,0.002159827,8.854868526,1.40E-05,16.12421365
220,sugar,4,s,u,g,a,r,1,2,0.618363335,0.693473316,0.158099352,2.66109664,0.039524838,4.66109664,0.000324339,11.59020987
221,whack,4.17,w,h,a,c,k,1,1,0.38340575,1.383056121,0.035853132,4.801757037,0.008963283,6.801757037,1.05E-05,16.53925115
222,mount,3.82,m,o,u,n,t,1,2,0.476858735,1.06836615,0.046220302,4.435329503,0.011555076,6.435329441,0.000529455,10.88320431
223,perky,4.45,p,e,r,k,y,1,1,0.520056868,0.943258705,0.061339093,4.027049356,0.015334773,6.027049379,1.96E-05,15.63878682
224,could,3.97,c,o,u,l,d,1,2,0.467799767,1.096036952,0.085529158,3.547439852,0.021382289,5.547439886,0.004367475,7.83898484
225,wrung,4.35,w,r,u,n,g,1,1,0.396390282,1.335006501,0.035853132,4.801757037,0.008963283,6.801757037,1.75E-06,19.12421365
226,light,4.06,l,i,g,h,t,1,1,0.45016687,1.151468209,0.038012959,4.717364858,0.00950324,6.71736482,0.001830422,9.093607987
227,those,3.67,t,h,o,s,e,1,2,0.683483943,0.54902065,0.064362851,3.957627957,0.016090713,5.957627935,0.003900878,8.001985406
228,moist,3.7,m,o,i,s,t,1,2,0.590114432,0.760933353,0.046220302,4.435329503,0.011555076,6.435329441,3.09E-05,14.98203364
229,shard,4.3,s,h,a,r,d,1,1,0.619722325,0.690306154,0.158099352,2.66109664,0.039524838,4.66109664,4.15E-06,17.87845723
230,pleat,3.92,p,l,e,a,t,1,2,0.672761869,0.571832156,0.061339093,4.027049356,0.015334773,6.027049379,3.85E-06,17.98671012
231,aloft,4.24,a,l,o,f,t,1,2,0.572401004,0.804901892,0.060907127,4.037245136,0.015226782,6.037245112,7.19E-06,17.0855768
232,skill,4.42,s,k,i,l,l,4,1,0.552465529,0.856043644,0.158099352,2.66109664,0.039524838,4.66109664,0.000228768,12.09382712
233,elder,4.71,e,l,d,e,r,4,2,0.740145844,0.434118516,0.031101512,5.006871471,0.007775378,7.006871471,0.000105455,13.21108488
234,frame,4.2,f,r,a,m,e,1,2,0.620790796,0.687820927,0.0587473,4.089333642,0.014686825,6.089333642,0.000665715,10.5528077
235,humor,4.18,h,u,m,o,r,1,2,0.469602373,1.090488396,0.029805616,5.068272,0.007451404,7.068272,0.00026128,11.90211568
236,pause,4.02,p,a,u,s,e,1,3,0.698767721,0.517115129,0.061339093,4.027049356,0.015334773,6.027049379,6.65E-05,13.87628613
237,ulcer,4.4,u,l,c,e,r,1,2,0.60814703,0.717507933,0.01425486,6.132402319,0.003563715,8.132402319,1.93E-05,15.66103963
238,ultra,4.07,u,l,t,r,a,1,2,0.619178147,0.69157354,0.01425486,6.132402319,0.003563715,8.132402319,0.000314872,11.63294691
239,robin,3.96,r,o,b,i,n,1,2,0.532851444,0.908194721,0.045356371,4.462550976,0.011339093,6.462550944,0.000165041,12.56488791
240,cynic,4.1,c,y,n,i,c,4,1,0.418505607,1.256681143,0.085529158,3.547439852,0.021382289,5.547439886,7.60E-06,17.00556915
241,aroma,4.1,a,r,o,m,a,4,3,0.688801175,0.537840491,0.060907127,4.037245136,0.015226782,6.037245112,2.92E-05,15.06367211
242,caulk,4.34,c,a,u,l,k,1,2,0.481975335,1.052968776,0.085529158,3.547439852,0.021382289,5.547439886,3.55E-06,18.10374954
243,shake,4.62,s,h,a,k,e,1,2,0.659135327,0.6013534,0.158099352,2.66109664,0.039524838,4.66109664,9.88E-05,13.30512943
244,dodge,4.66,d,o,d,g,e,4,2,0.539796518,0.889512424,0.047948164,4.382380616,0.011987041,6.382380616,0.00021336,12.19442265
245,swill,5.08,s,w,i,l,l,4,1,0.542705712,0.881758002,0.158099352,2.66109664,0.039524838,4.66109664,1.33E-06,19.52014232
246,tacit,4.35,t,a,c,i,t,4,2,0.587133129,0.768240432,0.064362851,3.957627957,0.016090713,5.957627935,8.59E-06,16.82891044
247,other,3.96,o,t,h,e,r,1,2,0.651989054,0.617080351,0.017710583,5.819244486,0.004427646,7.819244405,0.01413606,6.144476121
248,thorn,3.47,t,h,o,r,n,1,1,0.537865494,0.894682657,0.064362851,3.957627957,0.016090713,5.957627935,2.05E-05,15.57401656
249,trove,4.68,t,r,o,v,e,1,2,0.616023668,0.698942314,0.064362851,3.957627957,0.016090713,5.957627935,1.01E-05,16.59528518
250,bloke,4.15,b,l,o,k,e,1,2,0.546556216,0.871558203,0.074730022,3.742168243,0.018682505,5.742168281,1.11E-05,16.4590808
251,vivid,4.7,v,i,v,i,d,16,2,0.351199271,1.509638245,0.018574514,5.750531726,0.004643629,7.750531571,6.47E-05,13.91587476
252,spill,4.09,s,p,i,l,l,4,1,0.572729065,0.804075275,0.158099352,2.66109664,0.039524838,4.66109664,5.62E-05,14.11907034
253,chant,3.79,c,h,a,n,t,1,1,0.513695826,0.961013744,0.085529158,3.547439852,0.021382289,5.547439886,1.99E-05,15.61687204
254,choke,3.84,c,h,o,k,e,1,2,0.514786242,0.957954598,0.085529158,3.547439852,0.021382289,5.547439886,2.09E-05,15.54613753
255,rupee,4.38,r,u,p,e,e,4,3,0.697061285,0.520642593,0.045356371,4.462550976,0.011339093,6.462550944,4.09E-05,14.57753963
256,nasty,4.02,n,a,s,t,y,1,1,0.622030027,0.68494387,0.015982721,5.967343147,0.00399568,7.967343237,0.000107411,13.18457063
257,mourn,3.9,m,o,u,r,n,1,2,0.504551097,0.986927713,0.046220302,4.435329503,0.011555076,6.435329441,1.13E-05,16.4333177
258,ahead,4.27,a,h,e,a,d,4,3,0.697598378,0.519531409,0.060907127,4.037245136,0.015226782,6.037245112,0.000409937,11.25231017
259,brine,4.13,b,r,i,n,e,1,2,0.606982162,0.720273976,0.074730022,3.742168243,0.018682505,5.742168281,1.18E-05,16.37085361
260,cloth,3.86,c,l,o,t,h,1,1,0.486955094,1.038139359,0.085529158,3.547439852,0.021382289,5.547439886,0.000141062,12.79138298
261,hoard,3.89,h,o,a,r,d,1,2,0.583676416,0.776759319,0.029805616,5.068272,0.007451404,7.068272,6.26E-06,17.28540591
262,sweet,4.33,s,w,e,e,t,4,2,0.730964188,0.452127369,0.158099352,2.66109664,0.039524838,4.66109664,0.000466808,11.06488309
263,month,4.02,m,o,n,t,h,1,1,0.457489878,1.128188271,0.046220302,4.435329503,0.011555076,6.435329441,0.001777378,9.136033749
264,lapse,3.89,l,a,p,s,e,1,2,0.73194912,0.450184729,0.038012959,4.717364858,0.00950324,6.71736482,2.11E-05,15.53239748
265,watch,4.96,w,a,t,c,h,1,1,0.452096629,1.145296934,0.035853132,4.801757037,0.008963283,6.801757037,0.001329219,9.555205464
266,today,3.91,t,o,d,a,y,1,2,0.564311434,0.825436513,0.064362851,3.957627957,0.016090713,5.957627935,0.003456737,8.176373442
267,focus,4.09,f,o,c,u,s,1,2,0.490103679,1.028841118,0.0587473,4.089333642,0.014686825,6.089333642,0.000948105,10.04266554
268,smelt,4.31,s,m,e,l,t,1,1,0.660209603,0.599003972,0.158099352,2.66109664,0.039524838,4.66109664,4.35E-06,17.81055317
269,tease,3.72,t,e,a,s,e,4,3,0.876898491,0.189518248,0.064362851,3.957627957,0.016090713,5.957627935,2.92E-05,15.06367211
270,cater,4.68,c,a,t,e,r,1,2,0.707311971,0.499581416,0.085529158,3.547439852,0.021382289,5.547439886,3.02E-05,15.01509192
271,movie,4.32,m,o,v,i,e,1,3,0.540433631,0.887810639,0.046220302,4.435329503,0.011555076,6.435329441,0.0022887,8.771255916
272,saute,3.84,s,a,u,t,e,1,3,0.747195064,0.42044317,0.158099352,2.66109664,0.039524838,4.66109664,7.89E-06,16.95154327
273,allow,4.36,a,l,l,o,w,4,2,0.56935783,0.812592452,0.060907127,4.037245136,0.015226782,6.037245112,0.000968704,10.01165648
274,renew,4.27,r,e,n,e,w,4,2,0.682617799,0.550850062,0.045356371,4.462550976,0.011339093,6.462550944,9.48E-05,13.36475342
275,their,3.47,t,h,e,i,r,1,2,0.633633291,0.658279958,0.064362851,3.957627957,0.016090713,5.957627935,0.011309778,6.466285579
276,slosh,4.32,s,l,o,s,h,4,1,0.646149166,0.63006084,0.158099352,2.66109664,0.039524838,4.66109664,7.46E-07,20.35432103
277,purge,4.25,p,u,r,g,e,1,2,0.540537194,0.887534203,0.061339093,4.027049356,0.015334773,6.027049379,1.97E-05,15.63144484
278,chest,3.65,c,h,e,s,t,1,1,0.61952303,0.690770181,0.085529158,3.547439852,0.021382289,5.547439886,0.000195271,12.32223467
279,depot,3.9,d,e,p,o,t,1,2,0.58914539,0.763304387,0.047948164,4.382380616,0.011987041,6.382380616,0.000139967,12.80262566
280,epoxy,4.61,e,p,o,x,y,1,2,0.480967089,1.055989916,0.031101512,5.006871471,0.007775378,7.006871471,2.76E-05,15.14497221
282,found,4.76,f,o,u,n,d,1,2,0.416360315,1.264095529,0.0587473,4.089333642,0.014686825,6.089333642,0.003351775,8.220858978
283,shall,4.47,s,h,a,l,l,4,1,0.632054211,0.661879792,0.158099352,2.66109664,0.039524838,4.66109664,0.00277329,8.494185799
284,stove,4.57,s,t,o,v,e,1,2,0.647518558,0.627006554,0.158099352,2.66109664,0.039524838,4.66109664,5.66E-05,14.10883842
285,lowly,4.95,l,o,w,l,y,4,1,0.458401379,1.125316711,0.038012959,4.717364858,0.00950324,6.71736482,7.85E-06,16.95887592
286,snout,4.47,s,n,o,u,t,1,2,0.588729241,0.76432381,0.158099352,2.66109664,0.039524838,4.66109664,3.73E-06,18.03239294
287,trope,3.62,t,r,o,p,e,1,2,0.655361935,0.609636215,0.064362851,3.957627957,0.016090713,5.957627935,1.58E-06,19.27164401
288,fewer,4.88,f,e,w,e,r,4,2,0.624811808,0.678506376,0.0587473,4.089333642,0.014686825,6.089333642,0.000155923,12.64687863
289,shawl,4.45,s,h,a,w,l,1,1,0.552853483,0.855030906,0.158099352,2.66109664,0.039524838,4.66109664,1.46E-05,16.06367211
290,natal,4.57,n,a,t,a,l,4,2,0.674549258,0.568004297,0.015982721,5.967343147,0.00399568,7.967343237,4.35E-05,14.48862507
291,comma,4.63,c,o,m,m,a,4,2,0.500122383,0.999646921,0.085529158,3.547439852,0.021382289,5.547439886,3.92E-05,14.63878682
292,foray,4.67,f,o,r,a,y,1,2,0.555870488,0.847179306,0.0587473,4.089333642,0.014686825,6.089333642,7.22E-06,17.07956973
293,scare,4.09,s,c,a,r,e,1,2,0.766499221,0.383643769,0.158099352,2.66109664,0.039524838,4.66109664,4.29E-05,14.50866283
294,stair,3.42,s,t,a,i,r,1,2,0.714832312,0.484323246,0.158099352,2.66109664,0.039524838,4.66109664,2.91E-05,15.06862132
295,black,3.83,b,l,a,c,k,1,1,0.452806849,1.143032315,0.074730022,3.742168243,0.018682505,5.742168281,0.003535024,8.144064275
296,squad,4.31,s,q,u,a,d,1,2,0.504325179,0.98757384,0.158099352,2.66109664,0.039524838,4.66109664,0.000126335,12.950458
297,royal,4.03,r,o,y,a,l,1,2,0.631278011,0.663652596,0.045356371,4.462550976,0.011339093,6.462550944,0.000655995,10.57402756
298,chunk,3.91,c,h,u,n,k,1,1,0.345089973,1.53495554,0.085529158,3.547439852,0.021382289,5.547439886,3.43E-05,14.8314319
299,mince,4.11,m,i,n,c,e,1,2,0.547386828,0.869367376,0.046220302,4.435329503,0.011555076,6.435329441,4.74E-06,17.68668151
300,shame,4.19,s,h,a,m,e,1,2,0.675142953,0.566735088,0.158099352,2.66109664,0.039524838,4.66109664,9.80E-05,13.31685873
301,cheek,4.24,c,h,e,e,k,4,2,0.588916959,0.763863876,0.085529158,3.547439852,0.021382289,5.547439886,3.87E-05,14.65730691
302,ample,4.23,a,m,p,l,e,1,2,0.620078615,0.68947696,0.060907127,4.037245136,0.015226782,6.037245112,4.61E-05,14.40487372
303,flair,3.84,f,l,a,i,r,1,2,0.581737602,0.781559536,0.0587473,4.089333642,0.014686825,6.089333642,2.78E-05,15.13455559
304,foyer,5.25,f,o,y,e,r,1,2,0.585658942,0.771867338,0.0587473,4.089333642,0.014686825,6.089333642,1.51E-05,16.01509192
305,cargo,4.27,c,a,r,g,o,1,2,0.573929222,0.801055263,0.085529158,3.547439852,0.021382289,5.547439886,0.000140838,12.79367573
306,oxide,4.76,o,x,i,d,e,1,3,0.539128672,0.891298458,0.017710583,5.819244486,0.004427646,7.819244405,7.69E-05,13.66665688
307,plant,3.37,p,l,a,n,t,1,1,0.55863831,0.840013582,0.061339093,4.027049356,0.015334773,6.027049379,0.000769265,10.34423171
308,olive,4.06,o,l,i,v,e,1,3,0.593866918,0.751788427,0.017710583,5.819244486,0.004427646,7.819244405,0.00013433,12.86193084
309,inert,4.02,i,n,e,r,t,1,2,0.668582015,0.580823548,0.014686825,6.089333642,0.003671706,8.08933374,1.35E-05,16.17668107
310,askew,4.63,a,s,k,e,w,1,2,0.632484855,0.66089716,0.060907127,4.037245136,0.015226782,6.037245112,6.84E-06,17.15757224
311,heist,3.7,h,e,i,s,t,1,2,0.66512818,0.588295699,0.029805616,5.068272,0.007451404,7.068272,6.06E-06,17.33225078
312,shown,3.99,s,h,o,w,n,1,1,0.490909687,1.02647046,0.158099352,2.66109664,0.039524838,4.66109664,0.000993311,9.975466891
313,zesty,4.79,z,e,s,t,y,1,1,0.568383202,0.815064177,0.001295896,9.591834343,0.000323974,11.59183434,3.04E-06,18.32749725
314,stash,3.46,s,t,a,s,h,4,1,0.689741398,0.535872536,0.158099352,2.66109664,0.039524838,4.66109664,2.24E-05,15.44614174
315,larva,4.75,l,a,r,v,a,4,2,0.63132751,0.663539477,0.038012959,4.717364858,0.00950324,6.71736482,6.68E-06,17.19172047
316,forgo,4.77,f,o,r,g,o,4,2,0.495749038,1.012318122,0.0587473,4.089333642,0.014686825,6.089333642,4.92E-06,17.63291025
317,story,4.06,s,t,o,r,y,1,1,0.622231624,0.684476375,0.158099352,2.66109664,0.039524838,4.66109664,0.001999945,8.965823959
318,hairy,4.03,h,a,i,r,y,1,2,0.560371992,0.835543245,0.029805616,5.068272,0.007451404,7.068272,0.000275368,11.82635146
319,train,3.1,t,r,a,i,n,1,2,0.638793561,0.646578324,0.064362851,3.957627957,0.016090713,5.957627935,0.000459658,11.08715153
320,homer,4.76,h,o,m,e,r,1,2,0.599305799,0.738635761,0.029805616,5.068272,0.007451404,7.068272,6.19E-05,13.97970106
321,badge,4.24,b,a,d,g,e,1,2,0.561063112,0.833765031,0.074730022,3.742168243,0.018682505,5.742168281,8.88E-05,13.4590808
322,midst,4.18,m,i,d,s,t,1,1,0.528448907,0.920164103,0.046220302,4.435329503,0.011555076,6.435329441,4.89E-05,14.31980601
323,canny,4.72,c,a,n,n,y,4,1,0.505171705,0.98515426,0.085529158,3.547439852,0.021382289,5.547439886,3.03E-06,18.33225078
324,shine,3.73,s,h,i,n,e,1,2,0.64827668,0.625318418,0.158099352,2.66109664,0.039524838,4.66109664,8.50E-05,13.52217763
325,gecko,4.35,g,e,c,k,o,1,2,0.507334434,0.978991012,0.049676026,4.331306425,0.012419006,6.331306483,1.78E-05,15.77776323
326,farce,3.9,f,a,r,c,e,1,2,0.63265448,0.660510298,0.0587473,4.089333642,0.014686825,6.089333642,1.05E-05,16.53925115
327,slung,4.47,s,l,u,n,g,1,1,0.507085899,0.979697938,0.158099352,2.66109664,0.039524838,4.66109664,3.66E-06,18.05972492
328,tipsy,3.85,t,i,p,s,y,1,1,0.527756157,0.92205659,0.064362851,3.957627957,0.016090713,5.957627935,4.04E-06,17.91721328
329,metal,3.89,m,e,t,a,l,1,2,0.668505958,0.580987677,0.046220302,4.435329503,0.011555076,6.435329441,0.000811655,10.26684575
330,yield,4.53,y,i,e,l,d,1,2,0.576494157,0.794622109,0.002591793,8.591833786,0.000647948,10.59183434,0.000217029,12.16982455
331,delve,4.49,d,e,l,v,e,4,2,0.624687873,0.678792572,0.047948164,4.382380616,0.011987041,6.382380616,9.26E-06,16.72055638
332,being,4.19,b,e,i,n,g,1,2,0.520037769,0.943311689,0.074730022,3.742168243,0.018682505,5.742168281,0.003507473,8.155352286
333,scour,3.8,s,c,o,u,r,1,2,0.592453531,0.755226094,0.158099352,2.66109664,0.039524838,4.66109664,5.94E-06,17.36110564
334,glass,4.37,g,l,a,s,s,4,1,0.683039623,0.549958823,0.049676026,4.331306425,0.012419006,6.331306483,0.000918244,10.08883482
335,gamer,4.52,g,a,m,e,r,1,2,0.636196256,0.652456213,0.049676026,4.331306425,0.012419006,6.331306483,4.54E-05,14.42694818
336,scrap,3.94,s,c,r,a,p,1,1,0.620799819,0.687799958,0.158099352,2.66109664,0.039524838,4.66109664,5.43E-05,14.16868828
337,money,3.97,m,o,n,e,y,1,2,0.563089317,0.828564315,0.046220302,4.435329503,0.011555076,6.435329441,0.002747881,8.507464757
338,hinge,4.11,h,i,n,g,e,1,2,0.529837398,0.916378417,0.029805616,5.068272,0.007451404,7.068272,2.54E-05,15.26481198
339,album,4.09,a,l,b,u,m,1,2,0.477202678,1.067325956,0.060907127,4.037245136,0.015226782,6.037245112,0.001125623,9.795060572
340,vouch,4.82,v,o,u,c,h,1,2,0.366008085,1.450052577,0.018574514,5.750531726,0.004643629,7.750531571,5.62E-06,17.44099844
341,asset,3.94,a,s,s,e,t,4,2,0.838813682,0.253577701,0.060907127,4.037245136,0.015226782,6.037245112,0.000262627,11.89469714
342,tiara,3.84,t,i,a,r,a,4,3,0.723128667,0.467675725,0.064362851,3.957627957,0.016090713,5.957627935,1.33E-05,16.19821423
343,crept,4,c,r,e,p,t,1,1,0.591401022,0.757791358,0.085529158,3.547439852,0.021382289,5.547439886,8.51E-06,16.84240944
344,bayou,4.32,b,a,y,o,u,1,3,0.508804398,0.974816954,0.074730022,3.742168243,0.018682505,5.742168281,2.02E-05,15.59528518
345,atoll,4,a,t,o,l,l,4,2,0.647808526,0.626360639,0.060907127,4.037245136,0.015226782,6.037245112,1.31E-05,16.22007366
346,manor,4.08,m,a,n,o,r,1,2,0.60446607,0.726266735,0.046220302,4.435329503,0.011555076,6.435329441,0.000102352,13.25417309
347,creak,4.31,c,r,e,a,k,1,2,0.638621091,0.646967895,0.085529158,3.547439852,0.021382289,5.547439886,1.79E-06,19.09160898
348,showy,4.42,s,h,o,w,y,1,1,0.464288342,1.106907039,0.158099352,2.66109664,0.039524838,4.66109664,4.26E-06,17.84071514
349,peach,3.52,p,e,a,c,h,1,2,0.579392042,0.787388226,0.061339093,4.027049356,0.015334773,6.027049379,5.69E-05,14.10121182
350,froth,4.14,f,r,o,t,h,1,1,0.480059503,1.058714857,0.0587473,4.089333642,0.014686825,6.089333642,4.02E-06,17.92437307
351,depth,3.95,d,e,p,t,h,1,1,0.514203824,0.959587756,0.047948164,4.382380616,0.011987041,6.382380616,0.000460567,11.08430133
352,gloom,4.46,g,l,o,o,m,4,2,0.490780945,1.026848859,0.049676026,4.331306425,0.012419006,6.331306483,1.27E-05,16.26481198
353,flood,4.21,f,l,o,o,d,4,2,0.489534556,1.030517392,0.0587473,4.089333642,0.014686825,6.089333642,0.000201958,12.27365708
354,trait,4.18,t,r,a,i,t,4,2,0.655645061,0.609013084,0.064362851,3.957627957,0.016090713,5.957627935,2.46E-05,15.31098216
355,girth,4.21,g,i,r,t,h,1,1,0.4771092,1.067608589,0.049676026,4.331306425,0.012419006,6.331306483,7.12E-06,17.09969133
356,piety,4.06,p,i,e,t,y,1,2,0.565840966,0.821531466,0.061339093,4.027049356,0.015334773,6.027049379,8.60E-06,16.82723191
357,goose,4.73,g,o,o,s,e,4,3,0.699173477,0.516277637,0.049676026,4.331306425,0.012419006,6.331306483,5.40E-05,14.17668107
358,float,3.76,f,l,o,a,t,1,2,0.572401004,0.804901892,0.0587473,4.089333642,0.014686825,6.089333642,0.000127258,12.93995603
359,donor,4.03,d,o,n,o,r,4,2,0.574282876,0.800166551,0.047948164,4.382380616,0.011987041,6.382380616,0.000102525,13.25173664
360,atone,3.53,a,t,o,n,e,1,3,0.726729022,0.460510573,0.060907127,4.037245136,0.015226782,6.037245112,2.21E-06,18.7875222
361,primo,4.23,p,r,i,m,o,1,2,0.5101922,0.970887252,0.061339093,4.027049356,0.015334773,6.027049379,1.32E-05,16.20910254
362,apron,3.88,a,p,r,o,n,1,2,0.608721981,0.716144632,0.060907127,4.037245136,0.015226782,6.037245112,2.34E-05,15.38313194
363,blown,4.18,b,l,o,w,n,1,1,0.422672839,1.242386687,0.074730022,3.742168243,0.018682505,5.742168281,6.11E-05,13.99846809
364,cacao,4.83,c,a,c,a,o,16,3,0.632152926,0.661654488,0.085529158,3.547439852,0.021382289,5.547439886,4.79E-06,17.67154291
365,loser,3.9,l,o,s,e,r,1,2,0.76372656,0.388871898,0.038012959,4.717364858,0.00950324,6.71736482,3.65E-05,14.74174401
366,input,4,i,n,p,u,t,1,2,0.462758884,1.111667408,0.014686825,6.089333642,0.003671706,8.08933374,0.000826245,10.24114274
367,gloat,4.19,g,l,o,a,t,1,2,0.587806463,0.766586873,0.049676026,4.331306425,0.012419006,6.331306483,1.64E-06,19.21787275
368,awful,4.26,a,w,f,u,l,1,2,0.438377598,1.189754019,0.060907127,4.037245136,0.015226782,6.037245112,7.54E-05,13.69507595
369,brink,4.07,b,r,i,n,k,1,1,0.441019223,1.181086554,0.074730022,3.742168243,0.018682505,5.742168281,2.15E-05,15.50530381
370,smite,4.21,s,m,i,t,e,1,2,0.66424515,0.590212306,0.158099352,2.66109664,0.039524838,4.66109664,3.91E-06,17.96439996
371,beady,4.31,b,e,a,d,y,1,2,0.576842299,0.793751136,0.074730022,3.742168243,0.018682505,5.742168281,1.27E-06,19.58674007
372,rusty,3.67,r,u,s,t,y,1,1,0.566658915,0.81944749,0.045356371,4.462550976,0.011339093,6.462550944,4.02E-05,14.60244497
373,retro,4.05,r,e,t,r,o,4,2,0.731481639,0.451106443,0.045356371,4.462550976,0.011339093,6.462550944,0.000115578,13.07884557
374,droll,4.54,d,r,o,l,l,4,1,0.569493098,0.812249738,0.047948164,4.382380616,0.011987041,6.382380616,2.83E-06,18.43076652
375,gawky,5.08,g,a,w,k,y,1,1,0.373300669,1.421590001,0.049676026,4.331306425,0.012419006,6.331306483,4.50E-07,21.08357166
376,hutch,4.79,h,u,t,c,h,4,1,0.378832129,1.400369403,0.029805616,5.068272,0.007451404,7.068272,1.98E-05,15.62414004
377,pinto,4.02,p,i,n,t,o,1,2,0.518331593,0.948052764,0.061339093,4.027049356,0.015334773,6.027049379,1.60E-05,15.93156857
378,egret,4.49,e,g,r,e,t,4,2,0.718667964,0.476602718,0.031101512,5.006871471,0.007775378,7.006871471,5.70E-06,17.42060665
379,lilac,4.31,l,i,l,a,c,4,2,0.588633192,0.764559199,0.038012959,4.717364858,0.00950324,6.71736482,2.51E-05,15.28195311
380,sever,4.71,s,e,v,e,r,4,2,0.749341637,0.416304478,0.158099352,2.66109664,0.039524838,4.66109664,9.92E-06,16.62122845
