Contest number,Word,D,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,V,FS,Fsentropy,FF,FFentropy,FB,FBentropy,FE,FEentropy
381,field,4.08,f,i,e,l,d,1,2,0.545309511,0.874852776,0.0587473,4.089333642,0.014686825,6.089333642,0.001954514,8.998974366
382,fluff,4.98,f,l,u,f,f,27,1,0.300029707,1.736822741,0.0587473,4.089333642,0.014686825,6.089333642,1.18E-05,16.37085361
383,agape,4.48,a,g,a,p,e,4,3,0.680243412,0.555877016,0.060907127,4.037245136,0.015226782,6.037245112,5.99E-06,17.34901257
384,voice,4.09,v,o,i,c,e,1,3,0.552297315,0.856482981,0.018574514,5.750531726,0.004643629,7.750531571,0.00093328,10.0654024
385,stead,4.38,s,t,e,a,d,1,2,0.741102248,0.432255494,0.158099352,2.66109664,0.039524838,4.66109664,1.05E-05,16.53925115
386,berth,4.07,b,e,r,t,h,1,1,0.567247859,0.817948836,0.074730022,3.742168243,0.018682505,5.742168281,1.53E-05,15.99610882
387,madam,4.53,m,a,d,a,m,16,2,0.546760034,0.871020303,0.046220302,4.435329503,0.011555076,6.435329441,2.92E-05,15.06367211
388,night,4.18,n,i,g,h,t,1,1,0.432565338,1.20901003,0.015982721,5.967343147,0.00399568,7.967343237,0.00188578,9.050622907
389,bland,3.73,b,l,a,n,d,1,1,0.506941616,0.980108492,0.074730022,3.742168243,0.018682505,5.742168281,2.32E-05,15.39551567
390,liver,4.61,l,i,v,e,r,1,2,0.598417937,0.740774676,0.038012959,4.717364858,0.00950324,6.71736482,0.000175377,12.47725282
391,wedge,4.66,w,e,d,g,e,4,2,0.574000723,0.800875541,0.035853132,4.801757037,0.008963283,6.801757037,4.57E-05,14.41744631
392,roomy,4.33,r,o,o,m,y,4,2,0.533502461,0.906433169,0.045356371,4.462550976,0.011339093,6.462550944,8.30E-06,16.87845723
393,wacky,4.25,w,a,c,k,y,1,1,0.391733129,1.352056952,0.035853132,4.801757037,0.008963283,6.801757037,2.69E-05,15.1820343
394,flock,4.18,f,l,o,c,k,1,1,0.395406947,1.338589877,0.0587473,4.089333642,0.014686825,6.089333642,3.73E-05,14.71046484
395,angry,3.97,a,n,g,r,y,1,1,0.531283106,0.912447257,0.060907127,4.037245136,0.015226782,6.037245112,0.000133887,12.86669649
396,trite,4.91,t,r,i,t,e,4,2,0.685433515,0.544911359,0.064362851,3.957627957,0.016090713,5.957627935,4.15E-06,17.87845723
397,aphid,4.11,a,p,h,i,d,1,2,0.489200949,1.031500892,0.060907127,4.037245136,0.015226782,6.037245112,4.26E-06,17.84071514
398,tryst,4.06,t,r,y,s,t,4,0,0.599090282,0.739154664,0.064362851,3.957627957,0.016090713,5.957627935,2.97E-06,18.36110564
399,midge,4.28,m,i,d,g,e,1,2,0.507281684,0.979141024,0.046220302,4.435329503,0.011555076,6.435329441,4.46E-06,17.77452486
400,power,4.25,p,o,w,e,r,1,2,0.576911238,0.793578728,0.061339093,4.027049356,0.015334773,6.027049379,0.003273624,8.254895658
401,elope,4.24,e,l,o,p,e,4,3,0.725691665,0.462571395,0.031101512,5.006871471,0.007775378,7.006871471,1.08E-06,19.82053726
402,cinch,4.96,c,i,n,c,h,4,1,0.410178228,1.285677178,0.085529158,3.547439852,0.021382289,5.547439886,6.17E-06,17.30629808
403,motto,4.5,m,o,t,t,o,16,2,0.549282944,0.8643786,0.046220302,4.435329503,0.011555076,6.435329441,2.74E-05,15.15546458
404,stomp,4.05,s,t,o,m,p,1,1,0.53690151,0.897270632,0.158099352,2.66109664,0.039524838,4.66109664,1.69E-05,15.85261723
405,upset,3.95,u,p,s,e,t,1,2,0.631284115,0.663638646,0.01425486,6.132402319,0.003563715,8.132402319,8.01E-05,13.60783823
406,bluff,4.36,b,l,u,f,f,4,1,0.313087345,1.675362899,0.074730022,3.742168243,0.018682505,5.742168281,5.64E-05,14.11394531
407,cramp,3.96,c,r,a,m,p,1,1,0.508929314,0.974462803,0.085529158,3.547439852,0.021382289,5.547439886,5.81E-06,17.39303041
408,quart,4.29,q,u,a,r,t,1,2,0.511354473,0.967604375,0.009935205,6.653234549,0.002483801,8.653234694,2.89E-05,15.07857098
409,coyly,5.35,c,o,y,l,y,4,1,0.451809628,1.14621308,0.085529158,3.547439852,0.021382289,5.547439886,7.54E-07,20.33893214
410,youth,4.42,y,o,u,t,h,1,2,0.451120421,1.1484155,0.002591793,8.591833786,0.000647948,10.59183434,0.000742952,10.39444337
411,rhyme,4.1,r,h,y,m,e,1,1,0.532691612,0.908627531,0.045356371,4.462550976,0.011339093,6.462550944,2.21E-05,15.4655941
412,buggy,4.82,b,u,g,g,y,4,1,0.299675388,1.738527493,0.074730022,3.742168243,0.018682505,5.742168281,2.83E-05,15.10883842
413,alien,3.45,a,l,i,e,n,1,3,0.709123291,0.495891613,0.060907127,4.037245136,0.015226782,6.037245112,0.000151556,12.68786141
414,smear,4.39,s,m,e,a,r,1,2,0.754635538,0.406148052,0.158099352,2.66109664,0.039524838,4.66109664,1.86E-05,15.71433785
415,unfit,4.16,u,n,f,i,t,1,2,0.436528736,1.195851468,0.01425486,6.132402319,0.003563715,8.132402319,1.18E-05,16.37085361
416,patty,4.32,p,a,t,t,y,4,1,0.531266933,0.912491175,0.061339093,4.027049356,0.015334773,6.027049379,3.38E-05,14.85261723
417,cling,4.31,c,l,i,n,g,1,1,0.444296023,1.170406867,0.085529158,3.547439852,0.021382289,5.547439886,1.37E-05,16.15546458
418,glean,4.04,g,l,e,a,n,1,2,0.645085681,0.632437301,0.049676026,4.331306425,0.012419006,6.331306483,3.37E-06,18.17881998
419,label,4.39,l,a,b,e,l,4,2,0.660339391,0.598720386,0.038012959,4.717364858,0.00950324,6.71736482,0.000597523,10.70871813
420,hunky,4.73,h,u,n,k,y,1,1,0.342436699,1.546090771,0.029805616,5.068272,0.007451404,7.068272,4.04E-06,17.91721328
421,khaki,4.51,k,h,a,k,i,4,2,0.438770716,1.188460853,0.008639309,6.854868359,0.002159827,8.854868526,2.14E-05,15.51202968
422,poker,4.51,p,o,k,e,r,1,2,0.586671055,0.76937628,0.061339093,4.027049356,0.015334773,6.027049379,0.001864447,9.067036498
423,gruel,4.25,g,r,u,e,l,1,2,0.589714569,0.761911258,0.049676026,4.331306425,0.012419006,6.331306483,1.19E-06,19.680607
424,twice,3.97,t,w,i,c,e,1,2,0.538470886,0.893059752,0.064362851,3.957627957,0.016090713,5.957627935,0.000288152,11.76088235
425,twang,4.18,t,w,a,n,g,1,1,0.468612893,1.093531447,0.064362851,3.957627957,0.016090713,5.957627935,3.51E-06,18.12009754
426,shrug,4.18,s,h,r,u,g,1,1,0.499079505,1.002658435,0.158099352,2.66109664,0.039524838,4.66109664,1.04E-05,16.55305695
427,treat,3.52,t,r,e,a,t,4,2,0.748131542,0.418636137,0.064362851,3.957627957,0.016090713,5.957627935,0.000280882,11.79774821
428,waste,4.37,w,a,s,t,e,1,2,0.701175735,0.512152024,0.035853132,4.801757037,0.008963283,6.801757037,0.000593618,10.71817754
429,merit,3.76,m,e,r,i,t,1,2,0.63275026,0.6602919,0.046220302,4.435329503,0.011555076,6.435329441,9.32E-05,13.38931052
430,woven,4.54,w,o,v,e,n,1,2,0.493029111,1.020255262,0.035853132,4.801757037,0.008963283,6.801757037,6.14E-05,13.99140182
431,needy,4.22,n,e,e,d,y,4,2,0.651379106,0.618430651,0.015982721,5.967343147,0.00399568,7.967343237,2.36E-05,15.37085361
432,clown,3.91,c,l,o,w,n,1,1,0.443453121,1.173146495,0.085529158,3.547439852,0.021382289,5.547439886,4.45E-05,14.45583514
433,irony,3.95,i,r,o,n,y,1,2,0.550978452,0.859932197,0.014686825,6.089333642,0.003671706,8.08933374,3.20E-05,14.93156857
434,ruder,4.53,r,u,d,e,r,4,2,0.637384747,0.6497636,0.045356371,4.462550976,0.011339093,6.462550944,1.30E-06,19.55305695
435,gauze,4.94,g,a,u,z,e,1,3,0.528469003,0.920109241,0.049676026,4.331306425,0.012419006,6.331306483,8.04E-06,16.92437307
436,chief,3.81,c,h,i,e,f,1,2,0.490463867,1.027781239,0.085529158,3.547439852,0.021382289,5.547439886,0.000660219,10.56476772
437,onset,4.03,o,n,s,e,t,1,2,0.718432667,0.477075144,0.017710583,5.819244486,0.004427646,7.819244405,5.57E-05,14.13196315
438,prize,4.77,p,r,i,z,e,1,2,0.536719393,0.897760078,0.061339093,4.027049356,0.015334773,6.027049379,0.000234109,12.06053198
439,fungi,4.23,f,u,n,g,i,1,2,0.377276705,1.406305071,0.0587473,4.089333642,0.014686825,6.089333642,2.89E-05,15.07857098
440,charm,3.74,c,h,a,r,m,1,1,0.505556433,0.984055952,0.085529158,3.547439852,0.021382289,5.547439886,0.000152482,12.67907343
441,gully,4.91,g,u,l,l,y,4,1,0.422027335,1.244591649,0.049676026,4.331306425,0.012419006,6.331306483,1.16E-05,16.39551567
442,inter,4.01,i,n,t,e,r,1,2,0.668582015,0.580823548,0.014686825,6.089333642,0.003671706,8.08933374,0.000220595,12.14631229
443,whoop,4.32,w,h,o,o,p,4,2,0.423287935,1.240288727,0.035853132,4.801757037,0.008963283,6.801757037,4.79E-06,17.67154291
444,taunt,4.65,t,a,u,n,t,4,2,0.573884254,0.801168304,0.064362851,3.957627957,0.016090713,5.957627935,4.26E-06,17.84071514
445,leery,4.31,l,e,e,r,y,4,2,0.735197182,0.443796858,0.038012959,4.717364858,0.00950324,6.71736482,2.44E-06,18.64468742
446,class,4.36,c,l,a,s,s,4,1,0.701472083,0.511542406,0.085529158,3.547439852,0.021382289,5.547439886,0.002760633,8.500785177
447,theme,3.77,t,h,e,m,e,4,2,0.645744155,0.630965415,0.064362851,3.957627957,0.016090713,5.957627935,0.000537714,10.86087335
448,lofty,4.35,l,o,f,t,y,1,1,0.461444553,1.11577079,0.038012959,4.717364858,0.00950324,6.71736482,1.47E-05,16.05382432
449,tibia,4.4,t,i,b,i,a,4,3,0.571138426,0.808087643,0.064362851,3.957627957,0.016090713,5.957627935,8.97E-06,16.76646058
450,booze,4.87,b,o,o,z,e,4,3,0.537351627,0.896061641,0.074730022,3.742168243,0.018682505,5.742168281,1.70E-05,15.84410573
451,alpha,4.24,a,l,p,h,a,4,2,0.591173191,0.758347248,0.060907127,4.037245136,0.015226782,6.037245112,0.000402099,11.28016163
452,thyme,3.92,t,h,y,m,e,1,1,0.504999251,0.985646847,0.064362851,3.957627957,0.016090713,5.957627935,1.46E-05,16.06367211
453,doubt,3.61,d,o,u,b,t,1,2,0.446269453,1.164013037,0.047948164,4.382380616,0.011987041,6.382380616,0.000293436,11.7346665
454,parer,5.99,p,a,r,e,r,4,2,0.72739656,0.459185992,0.061339093,4.027049356,0.015334773,6.027049379,5.49E-07,20.79669051
455,chute,3.55,c,h,u,t,e,1,2,0.527904412,0.921651371,0.085529158,3.547439852,0.021382289,5.547439886,1.20E-05,16.34660607
456,stick,3.61,s,t,i,c,k,1,1,0.510145894,0.9710182,0.158099352,2.66109664,0.039524838,4.66109664,0.000323599,11.59350523
457,trice,4.51,t,r,i,c,e,1,2,0.644613944,0.633492698,0.064362851,3.957627957,0.016090713,5.957627935,5.12E-06,17.57542476
458,alike,4.25,a,l,i,k,e,1,3,0.657283911,0.605411424,0.060907127,4.037245136,0.015226782,6.037245112,8.99E-05,13.44131936
459,recap,4,r,e,c,a,p,1,2,0.658884628,0.601902226,0.045356371,4.462550976,0.011339093,6.462550944,4.13E-05,14.56349869
460,saint,3.62,s,a,i,n,t,1,2,0.670288451,0.577146018,0.158099352,2.66109664,0.039524838,4.66109664,0.000562407,10.79609783
461,glory,3.83,g,l,o,r,y,1,1,0.504542374,0.986952656,0.049676026,4.331306425,0.012419006,6.331306483,0.000190105,12.3609159
462,grate,3.77,g,r,a,t,e,1,2,0.68887951,0.537676428,0.049676026,4.331306425,0.012419006,6.331306483,9.71E-06,16.65209727
463,admit,3.96,a,d,m,i,t,1,2,0.536745262,0.897690544,0.060907127,4.037245136,0.015226782,6.037245112,0.000126854,12.94454337
464,brisk,4,b,r,i,s,k,1,1,0.517057974,0.951602046,0.074730022,3.742168243,0.018682505,5.742168281,1.12E-05,16.44614174
465,soggy,4.3,s,o,g,g,y,4,1,0.4760352,1.070859839,0.158099352,2.66109664,0.039524838,4.66109664,4.79E-06,17.67154291
466,usurp,4.12,u,s,u,r,p,4,2,0.52927305,0.917915899,0.01425486,6.132402319,0.003563715,8.132402319,2.48E-06,18.62122845
467,scald,4.21,s,c,a,l,d,1,1,0.603760649,0.727951365,0.158099352,2.66109664,0.039524838,4.66109664,1.47E-06,19.37575241
468,scorn,3.92,s,c,o,r,n,1,1,0.608033398,0.717777525,0.158099352,2.66109664,0.039524838,4.66109664,9.00E-06,16.76164357
469,leave,4.26,l,e,a,v,e,4,3,0.730695662,0.452657453,0.038012959,4.717364858,0.00950324,6.71736482,0.001025122,9.929988669
470,twine,3.93,t,w,i,n,e,1,2,0.562438957,0.83023157,0.064362851,3.957627957,0.016090713,5.957627935,6.00E-06,17.34660607
471,sting,3.95,s,t,i,n,g,1,1,0.543552813,0.879507877,0.158099352,2.66109664,0.039524838,4.66109664,4.01E-05,14.60603824
472,bough,4.36,b,o,u,g,h,1,2,0.373741381,1.419887786,0.074730022,3.742168243,0.018682505,5.742168281,7.51E-06,17.02275566
473,marxh,3.86,m,a,r,x,h,1,1,0.443146364,1.174144819,0.046220302,4.435329503,0.011555076,6.435329441,0,Inf
474,sloth,3.54,s,l,o,t,h,1,1,0.586961915,0.768661198,0.158099352,2.66109664,0.039524838,4.66109664,7.50E-06,17.02467797
475,dandy,4.95,d,a,n,d,y,4,1,0.485794409,1.041582209,0.047948164,4.382380616,0.011987041,6.382380616,1.59E-05,15.94061371
476,vigor,4.42,v,i,g,o,r,1,2,0.464285156,1.106916939,0.018574514,5.750531726,0.004643629,7.750531571,1.41E-05,16.11394531
477,howdy,4.61,h,o,w,d,y,1,1,0.366576908,1.447812187,0.029805616,5.068272,0.007451404,7.068272,1.05E-05,16.53925115
478,enjoy,4.64,e,n,j,o,y,1,2,0.511922972,0.966001348,0.031101512,5.006871471,0.007775378,7.006871471,0.000724391,10.43094376
479,valid,4.04,v,a,l,i,d,1,2,0.502412939,0.993054475,0.018574514,5.750531726,0.004643629,7.750531571,0.000824844,10.24359109
480,ionic,4.86,i,o,n,i,c,4,3,0.530724944,0.913963738,0.014686825,6.089333642,0.003671706,8.08933374,2.61E-05,15.22559067
481,equal,4.24,e,q,u,a,l,1,3,0.581684203,0.78169197,0.031101512,5.006871471,0.007775378,7.006871471,0.000503221,10.95652025
482,floor,4.07,f,l,o,o,r,4,2,0.555751101,0.847489194,0.0587473,4.089333642,0.014686825,6.089333642,0.000776665,10.33041993
483,catch,4.8,c,a,t,c,h,4,1,0.489727755,1.029948133,0.085529158,3.547439852,0.021382289,5.547439886,0.000294732,11.72830867
484,spade,3.86,s,p,a,d,e,1,2,0.692674905,0.529749688,0.158099352,2.66109664,0.039524838,4.66109664,2.26E-05,15.4333177
485,stein,3.72,s,t,e,i,n,1,2,0.700076904,0.514414683,0.158099352,2.66109664,0.039524838,4.66109664,5.62E-05,14.11907034
486,exist,4.04,e,x,i,s,t,1,2,0.613698764,0.704397417,0.031101512,5.006871471,0.007775378,7.006871471,0.000366217,11.41501362
487,quirk,4.19,q,u,i,r,k,1,2,0.379965567,1.396059409,0.009935205,6.653234549,0.002483801,8.653234694,6.42E-06,17.24899527
488,denim,3.87,d,e,n,i,m,1,2,0.549682215,0.863330293,0.047948164,4.382380616,0.011987041,6.382380616,6.84E-05,13.83564415
489,grove,4.45,g,r,o,v,e,1,2,0.556771637,0.844842375,0.049676026,4.331306425,0.012419006,6.331306483,0.000219442,12.1538727
490,spiel,3.92,s,p,i,e,l,1,2,0.669251093,0.579380505,0.158099352,2.66109664,0.039524838,4.66109664,1.17E-05,16.38313194
491,mummy,5.53,m,u,m,m,y,27,1,0.32172954,1.63607969,0.046220302,4.435329503,0.011555076,6.435329441,2.71E-05,15.17134762
492,fault,4,f,a,u,l,t,1,2,0.516828295,0.952243039,0.0587473,4.089333642,0.014686825,6.089333642,0.000189438,12.36598662
493,foggy,4.54,f,o,g,g,y,4,1,0.342190458,1.547128564,0.0587473,4.089333642,0.014686825,6.089333642,1.02E-05,16.58107132
494,flout,3.98,f,l,o,u,t,1,2,0.472486031,1.081656418,0.0587473,4.089333642,0.014686825,6.089333642,1.05E-06,19.86117924
495,carry,4.27,c,a,r,r,y,4,1,0.594259428,0.750835208,0.085529158,3.547439852,0.021382289,5.547439886,0.000477565,11.03201527
496,sneak,3.96,s,n,e,a,k,1,2,0.694084051,0.526817716,0.158099352,2.66109664,0.039524838,4.66109664,3.30E-05,14.88717445
497,libel,4.49,l,i,b,e,l,4,2,0.597641364,0.742648091,0.038012959,4.717364858,0.00950324,6.71736482,1.25E-05,16.28771238
498,waltz,4.63,w,a,l,t,z,1,1,0.445179678,1.167540358,0.035853132,4.801757037,0.008963283,6.801757037,2.49E-05,15.29349473
499,aptly,4.12,a,p,t,l,y,1,1,0.532016965,0.910455844,0.060907127,4.037245136,0.015226782,6.037245112,8.64E-06,16.82053726
500,piney,4.55,p,i,n,e,y,1,2,0.548989466,0.865149628,0.061339093,4.027049356,0.015334773,6.027049379,5.70E-06,17.42060665
501,inept,4.01,i,n,e,p,t,1,2,0.59246231,0.755204716,0.014686825,6.089333642,0.003671706,8.08933374,6.62E-06,17.20473735
502,aloud,3.56,a,l,o,u,d,1,3,0.576102944,0.795601465,0.060907127,4.037245136,0.015226782,6.037245112,5.41E-05,14.17401188
503,photo,3.77,p,h,o,t,o,4,2,0.501738632,0.99499207,0.061339093,4.027049356,0.015334773,6.027049379,0.003281265,8.251532172
504,dream,3.48,d,r,e,a,m,1,2,0.656924104,0.606201393,0.047948164,4.382380616,0.011987041,6.382380616,0.000484241,11.01198714
505,stale,3.63,s,t,a,l,e,1,2,0.780376463,0.35775783,0.158099352,2.66109664,0.039524838,4.66109664,1.54E-05,15.98671012
506,begin,3.98,b,e,g,i,n,1,2,0.520037769,0.943311689,0.074730022,3.742168243,0.018682505,5.742168281,0.000656395,10.57314813
507,spell,4.09,s,p,e,l,l,4,1,0.665215546,0.58810621,0.158099352,2.66109664,0.039524838,4.66109664,0.000122886,12.99039182
508,rainy,3.51,r,a,i,n,y,1,2,0.595320716,0.748260997,0.045356371,4.462550976,0.011339093,6.462550944,3.57E-05,14.7737164
509,unite,3.75,u,n,i,t,e,1,3,0.608458286,0.716769735,0.01425486,6.132402319,0.003563715,8.132402319,4.17E-05,14.54959309
510,medal,4.07,m,e,d,a,l,1,2,0.629981774,0.666618004,0.046220302,4.435329503,0.011555076,6.435329441,0.000111921,13.12523162
511,valet,4.12,v,a,l,e,t,1,2,0.633423603,0.658757468,0.018574514,5.750531726,0.004643629,7.750531571,2.97E-05,15.03917754
512,inane,4.15,i,n,a,n,e,4,3,0.691521759,0.532153448,0.014686825,6.089333642,0.003671706,8.08933374,4.61E-06,17.72680182
513,maple,3.95,m,a,p,l,e,1,2,0.620078615,0.68947696,0.046220302,4.435329503,0.011555076,6.435329441,0.000140201,12.80021574
514,snarl,4.35,s,n,a,r,l,1,1,0.693945265,0.52710622,0.158099352,2.66109664,0.039524838,4.66109664,2.67E-06,18.51472883
515,baker,4.72,b,a,k,e,r,1,2,0.617840809,0.694692929,0.074730022,3.742168243,0.018682505,5.742168281,0.000214717,12.18527596
516,there,3.59,t,h,e,r,e,4,2,0.726119771,0.461720559,0.064362851,3.957627957,0.016090713,5.957627935,0.010129764,6.625255627
517,glyph,4.06,g,l,y,p,h,1,0,0.353481104,1.500295,0.049676026,4.331306425,0.012419006,6.331306483,9.13E-06,16.74095371
518,avert,4.03,a,v,e,r,t,1,2,0.660365932,0.598662401,0.060907127,4.037245136,0.015226782,6.037245112,1.11E-05,16.4590808
519,brave,4.5,b,r,a,v,e,1,2,0.598766079,0.739935602,0.074730022,3.742168243,0.018682505,5.742168281,7.54E-05,13.69507595
520,axiom,4.33,a,x,i,o,m,1,3,0.495181147,1.013971707,0.060907127,4.037245136,0.015226782,6.037245112,2.16E-05,15.49860916
521,prime,3.93,p,r,i,m,e,1,2,0.584322917,0.775162222,0.061339093,4.027049356,0.015334773,6.027049379,0.000553439,10.81928807
522,drive,3.74,d,r,i,v,e,1,2,0.559143722,0.838708935,0.047948164,4.382380616,0.011987041,6.382380616,0.001557371,9.326671618
523,feast,3.83,f,e,a,s,t,1,2,0.70496894,0.504368399,0.0587473,4.089333642,0.014686825,6.089333642,6.02E-05,14.01987699
524,itchy,3.87,i,t,c,h,y,1,1,0.424376454,1.236583483,0.014686825,6.089333642,0.003671706,8.08933374,1.71E-05,15.83564415
525,clean,3.45,c,l,e,a,n,1,2,0.663518141,0.591792185,0.085529158,3.547439852,0.021382289,5.547439886,0.000655627,10.57483711
526,happy,3.9,h,a,p,p,y,4,1,0.431039366,1.214108461,0.029805616,5.068272,0.007451404,7.068272,0.000916975,10.09082998
527,tepid,3.57,t,e,p,i,d,1,2,0.570789627,0.808968978,0.064362851,3.957627957,0.016090713,5.957627935,3.19E-06,18.25801215
528,undue,4.4,u,n,d,u,e,4,3,0.532717157,0.908558349,0.01425486,6.132402319,0.003563715,8.132402319,1.99E-05,15.61687204
530,eject,4.55,e,j,e,c,t,4,2,0.605558463,0.723661845,0.031101512,5.006871471,0.007775378,7.006871471,1.35E-05,16.17668107
531,chafe,3.97,c,h,a,f,e,1,2,0.553161894,0.854226319,0.085529158,3.547439852,0.021382289,5.547439886,1.72E-06,19.14916
532,torso,3.85,t,o,r,s,o,4,2,0.688845811,0.537747004,0.064362851,3.957627957,0.016090713,5.957627935,2.56E-05,15.25349666
533,adore,3.6,a,d,o,r,e,1,3,0.7327487,0.448609592,0.060907127,4.037245136,0.015226782,6.037245112,1.70E-05,15.84410573
534,woken,4.8,w,o,k,e,n,1,2,0.51210384,0.965491718,0.035853132,4.801757037,0.008963283,6.801757037,5.26E-06,17.53650577
535,amber,4.23,a,m,b,e,r,1,2,0.633848434,0.657790191,0.060907127,4.037245136,0.015226782,6.037245112,0.000159863,12.61087631
536,joust,4.02,j,o,u,s,t,1,2,0.501731141,0.99501361,0.008639309,6.854868359,0.002159827,8.854868526,2.32E-06,18.71744376
537,infer,4.3,i,n,f,e,r,1,2,0.593924524,0.75164849,0.014686825,6.089333642,0.003671706,8.08933374,1.60E-05,15.93156857
538,braid,3.56,b,r,a,i,d,1,2,0.555521025,0.84808658,0.074730022,3.742168243,0.018682505,5.742168281,1.42E-05,16.10374954
539,knock,4.22,k,n,o,c,k,4,1,0.383772027,1.381678537,0.008639309,6.854868359,0.002159827,8.854868526,7.51E-05,13.70082757
540,naive,4.08,n,a,i,v,e,1,3,0.62060765,0.688246614,0.015982721,5.967343147,0.00399568,7.967343237,2.67E-05,15.19280073
541,apply,4.05,a,p,p,l,y,4,1,0.483589622,1.048144811,0.060907127,4.037245136,0.015226782,6.037245112,0.001102901,9.824480989
542,spoke,3.82,s,p,o,k,e,1,2,0.618165945,0.693933917,0.158099352,2.66109664,0.039524838,4.66109664,0.000167265,12.54557678
543,usual,4.24,u,s,u,a,l,4,3,0.618241669,0.693757201,0.01425486,6.132402319,0.003563715,8.132402319,0.000246248,11.98760037
544,rival,4,r,i,v,a,l,1,2,0.568629484,0.814439189,0.045356371,4.462550976,0.011339093,6.462550944,6.21E-05,13.97504721
545,probe,4.19,p,r,o,b,e,1,2,0.593762082,0.75204313,0.061339093,4.027049356,0.015334773,6.027049379,0.000139323,12.80927894
546,chord,3.66,c,h,o,r,d,1,1,0.47537324,1.072867402,0.085529158,3.547439852,0.021382289,5.547439886,4.51E-05,14.43651304
547,taper,4.07,t,a,p,e,r,1,2,0.699704199,0.515182945,0.064362851,3.957627957,0.016090713,5.957627935,1.87E-05,15.7066022
548,slate,3.43,s,l,a,t,e,1,2,0.780376463,0.35775783,0.158099352,2.66109664,0.039524838,4.66109664,5.51E-05,14.14758816
549,third,3.47,t,h,i,r,d,1,1,0.497837048,1.006254498,0.064362851,3.957627957,0.016090713,5.957627935,0.001379527,9.501610591
550,lunar,3.75,l,u,n,a,r,1,2,0.602326647,0.73138201,0.038012959,4.717364858,0.00950324,6.71736482,5.22E-05,14.22559067
551,excel,4.51,e,x,c,e,l,4,2,0.606928455,0.720401634,0.031101512,5.006871471,0.007775378,7.006871471,0.000204185,12.25783549
552,aorta,4.13,a,o,r,t,a,4,3,0.74148443,0.431511696,0.060907127,4.037245136,0.015226782,6.037245112,9.26E-06,16.72055638
553,poise,3.72,p,o,i,s,e,1,3,0.691642403,0.531901775,0.061339093,4.027049356,0.015334773,6.027049379,4.90E-06,17.63878682
554,extra,4.18,e,x,t,r,a,1,2,0.644901902,0.63284837,0.031101512,5.006871471,0.007775378,7.006871471,0.00085782,10.18703743
555,judge,5.18,j,u,d,g,e,1,2,0.418898393,1.255327745,0.008639309,6.854868359,0.002159827,8.854868526,0.000446495,11.12906836
556,condo,4.45,c,o,n,d,o,4,2,0.505770944,0.983443937,0.085529158,3.547439852,0.021382289,5.547439886,9.31E-05,13.39085931
557,impel,4.15,i,m,p,e,l,1,2,0.557380588,0.843265337,0.014686825,6.089333642,0.003671706,8.08933374,1.25E-06,19.60964047
558,havoc,4.4,h,a,v,o,c,1,2,0.465923058,1.101836365,0.029805616,5.068272,0.007451404,7.068272,2.44E-05,15.32275933
559,molar,4.14,m,o,l,a,r,1,2,0.622067601,0.684856726,0.046220302,4.435329503,0.011555076,6.435329441,9.39E-06,16.70044341
560,manly,4.34,m,a,n,l,y,1,1,0.510909553,0.968860183,0.046220302,4.435329503,0.011555076,6.435329441,1.82E-05,15.74570202
